epoch,step,train/loss_epoch,train/loss_step,val/angular_error_deg,val/loss
0,4,,1.0264525413513184,,
0,9,,0.60178542137146,,
0,14,,0.7921542525291443,,
0,19,,0.2765499949455261,,
0,24,,0.23270247876644135,,
0,29,,0.2915637791156769,,
0,34,,0.30059880018234253,,
0,39,,0.2209247499704361,,
0,44,,0.27725985646247864,,
0,49,,0.2627708315849304,,
0,49,,,8.780498504638672,0.1532486230134964
0,49,0.4662516713142395,,,
1,54,,0.3597502112388611,,
1,59,,0.1798713058233261,,
1,64,,0.1888633668422699,,
1,69,,0.17572461068630219,,
1,74,,0.1370706409215927,,
1,79,,0.14195531606674194,,
1,84,,0.1563006490468979,,
1,89,,0.12362651526927948,,
1,94,,0.08194275945425034,,
1,99,,0.07795657217502594,,
1,99,,,5.304891109466553,0.09258780628442764
1,99,0.16724178194999695,,,
